Postal Code,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761
M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
M4G,East York,Leaside,43.7090604,-79.3634517
M4M,East Toronto,Studio District,43.6595255,-79.340923
M5A,Downtown Toronto,"regent Park, Harbourfront",43.6542599,-79.3606359
M5G,Downtown Toronto,Central Bay street,43.6579524,-79.3873826
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands",43.6289467,-79.3944199
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown",43.8037611,-79.2393957
M9L,North York,Humber Summit,43.6593452,-79.3604522
